# civil-holidays v1
# jurisdiction: CA
# source: https://laws-lois.justice.gc.ca/eng/acts/H-5/page-1.html
#   (Holidays Act, R.S.C. 1985 c. H-5: New Year's, Canada Day with its Sunday
#   shift, Remembrance Day, Christmas; local copy
#   papers/holidays/ca_holidays_act_justice.html). Provincial statutory holidays
#   were cross-checked against vacanza/holidays 0.101 (MIT) and the provincial
#   employment-standards listings it cites.
#
#   SCOPE DECISION (documented): federal set (subdiv None) plus a COMPACT
#   provincial sample — CA-ON, CA-QC, CA-BC, CA-AB, CA-MB, CA-NS — chosen to
#   exercise every provincial rule shape (Victoria Day / National Patriots' Day
#   via the Monday-preceding-25-May rule; the four "third Monday of February"
#   variants Family Day / Louis Riel Day / Heritage Day; nth-weekday Thanksgiving
#   and BC Day; Saint-Jean-Baptiste; Remembrance Day; Boxing Day). The remaining
#   provinces/territories are future data. Canada Day carries the federal Holidays
#   Act Sunday->Monday shift (sun_mon).
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed
#
# Canada is officially bilingual federally, so the federal holidays carry both
# the English (en) and French (fr) official names. The primary name stays the
# English one (the join key used by the golds); French is added in `names`.
# --- federal (Holidays Act) ---
fixed       | en:New Year's Day ;; fr:Jour de l'An | 1 1   | public          |  |
decree | Remembrance Day | 2024-11-11 2025-11-11 | government |  |

# --- Wave 2 subdivision backfill (vacanza/holidays 0.101) ---
# CA-AB
fixed | Remembrance Day | 11 11 | regional | CA-AB | 
# CA-BC
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-BC | 
fixed | Remembrance Day | 11 11 | regional | CA-BC | 
# CA-MB
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-MB | 
# CA-NB
fixed | Remembrance Day | 11 11 | regional | CA-NB | 
nth_weekday | Family Day | 2 3 0 | public | CA-NB |
nth_weekday | New Brunswick Day | 8 1 0 | public | CA-NB |
# CA-NL
fixed | Remembrance Day | 11 11 | regional | CA-NL | 
fixed | Canada Day; Memorial Day | 7 1 | regional | CA-NL | 
# CA-NS
fixed | Remembrance Day | 11 11 | regional | CA-NS | 
# CA-NT
fixed | National Aboriginal Day | 6 21 | regional | CA-NT | 
nth_weekday | Civic Holiday | 8 1 0 | public | CA-NT |
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-NT | 
nth_weekday | Thanksgiving Day | 10 2 0 | public | CA-NT |
weekday_onbefore | Victoria Day | 5 24 0 | public | CA-NT |
fixed | Remembrance Day | 11 11 | regional | CA-NT | 
# CA-NU
fixed | Nunavut Day | 7 9 | regional | CA-NU | 
nth_weekday | Civic Holiday | 8 1 0 | public | CA-NU |
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-NU | 
nth_weekday | Thanksgiving Day | 10 2 0 | public | CA-NU |
weekday_onbefore | Victoria Day | 5 24 0 | public | CA-NU |
fixed | Remembrance Day | 11 11 | regional | CA-NU | 
# CA-ON
fixed | Boxing Day | 12 26 | regional | CA-ON | 
# CA-PE
fixed | Remembrance Day | 11 11 | regional | CA-PE | 
nth_weekday | Islander Day | 2 3 0 | public | CA-PE |
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-PE | 
# CA-QC
fixed | Saint Jean Baptiste Day | 6 24 | regional | CA-QC | 
# CA-SK
nth_weekday | Thanksgiving Day | 10 2 0 | public | CA-SK |
weekday_onbefore | Victoria Day | 5 24 0 | public | CA-SK |
nth_weekday | Family Day | 2 3 0 | public | CA-SK |
fixed | Remembrance Day | 11 11 | regional | CA-SK | 
nth_weekday | Saskatchewan Day | 8 1 0 | public | CA-SK |
# CA-YT
nth_weekday | Discovery Day | 8 3 0 | public | CA-YT |
fixed | National Aboriginal Day | 6 21 | regional | CA-YT | 
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-YT | 
nth_weekday | Thanksgiving Day | 10 2 0 | public | CA-YT |
weekday_onbefore | Victoria Day | 5 24 0 | public | CA-YT |
fixed | Remembrance Day | 11 11 | regional | CA-YT | 
